eta_a,eta_e,eta_z,eta_r
-0.0749467862975295,-0.00554130016303236,-0.307653321380646,0.0876805102864081
-8.51887668406514,0.0261792276848721,-2.41492782836728,-0.310580554819383
-0.726063875053769,0.00239117044343167,-1.1072646785364,-0.166566878830592
8.39680207140722,-0.0784888915189222,0.633660275294376,0.562107148432864
4.13050771711745,0.00190654644529094,0.618384356177261,-0.422122147695741
1.42198418564187,0.0401038402904686,-0.12780558993667,1.00746384554459
2.72678610758454,-0.00529963034541989,-0.248367813268035,0.130469939629584
-5.10816386414836,0.0389291591575149,-2.06179918019769,-0.222879230790013
0.813580850001802,0.00689574450225585,-1.07950308902196,1.55363897363432
-0.567806428334575,0.00607889715093015,-0.0445644995344306,0.515358849321648
-6.5509183224341,0.0174277572159306,-1.16358619924757,-0.200451043641492
-3.89153198862524,0.0308175904655631,0.166857127870457,0.221658256087959
0.78930050921524,0.0215192540315928,0.682856961553408,0.451667945030316
2.4588110994889,-0.00375774018097277,0.713836662106055,-0.123185058031349
2.65430951413899,-0.000714693517799114,0.714395898285665,0.212735855839266
1.26310259427005,0.0108186722775786,0.722979076572725,-0.280266617829047
1.99560066189204,-0.0194819497672131,0.565788618168854,-0.326546121152812
4.10674208153229,0.0300341257172585,0.773016923584116,0.0434918966002577
1.30272789916117,-0.00743777688010236,0.348559940703416,0.370061408406603
-2.65542919706765,0.018909142897411,0.247733205039961,-0.159695839357298
-1.14884400871506,-0.0193194124018438,-0.208220215523879,-0.270723957687434
-0.689994789199182,0.0337570005645982,0.531395241757485,-0.0993446473863436
1.06463492021808,0.0254471445758396,0.620754030067931,-0.194153595311723
0.306630629064736,-0.0181959270191057,-0.224720434445786,-0.0272462375192457
-0.186855155638186,0.0265099082446229,0.505252309948586,0.147772022302839
-2.03990842820156,-0.00305232860558348,-0.18204333930063,0.0139553129451463
-1.55814750675766,-0.00343175879979411,0.17610954474333,-0.24061293321336
-1.15743421590527,-0.00498667800469172,0.0068002928936803,-0.00193264836440638
-0.816899335002813,-0.0233948342913896,-0.0502691020316182,-0.0659772938378819
0.193748041384152,0.0107577821317642,0.567144082533619,-0.0956231191673095
-0.106816427693016,-0.00683056731350716,0.413379519393463,0.116493332065058
0.582978832493652,0.0031902600566135,0.613638632678692,-0.45010048478226
-0.0599589856301405,0.012189043190776,0.0818144683887606,-0.00672606640574752
1.34791095392461,-0.0269909794276951,-0.157379759941421,-0.270924810335353
1.71749805399286,-0.0163640195223099,-0.345632789754892,0.0148896150425251
3.35411011483419,0.0274399266395236,0.680403014219079,-0.0261793118429772
2.35286899730699,-0.0271781994111349,-0.0153612941459541,-0.110866451517884
0.446912246855174,0.00716251290180891,-0.00167843927684461,-0.105745199218501
-0.444810299107182,0.0230175055374785,0.163000478177219,-0.0697230468341414
-0.0453823494406876,0.000794327755645188,-0.249159594490063,0.0535774023238769
0.548848126274171,-0.0270997368656055,-0.496195455734868,-0.229015176156529
0.257378433185065,-0.00351107111862791,-0.386726746134568,-0.134507383348604
-0.759525582425988,0.0117030113367243,-0.328739452053104,0.0865655501981053
-2.05044605492467,0.00444232974582642,-0.895430295316644,0.361859427620532
-2.74589467792182,-0.0159729893822044,-1.27371131615611,-0.145396310024134
